id,parent_id,name,is_active
1,,Frukt & grønt,True
2,1,Frukt,True
3,2,Sitrusfrukt,True
4,,Middagstilbehør,True
5,4,Sauser,True
6,5,Brun saus,True
7,2,Bananer,True
8,,Meieri & egg,True
9,8,Plantebasert drikke,True
10,9,Havredrikk,True
11,1,Grønnsaker,True
12,11,Kål,True
13,,Pålegg & frokost,True
14,13,Kjøttpålegg,True
15,14,Saltpølser,True
16,,Barneprodukter,True
17,16,Babypleie,False
18,17,Våtservietter,False
19,,Ost,True
20,19,Chevre,True
21,11,Rotgrønnsaker,True
22,,Bakeri,True
23,22,Brød,True
24,2,Pære,True
25,16,Barnedessert,True
26,,Drikke,True
27,26,Smoothie,True
28,26,Juice,True
29,11,Løk,True
30,26,Brus,True
31,1,Poteter,True
32,31,Poteter,True
33,,Middag,True
34,33,Nudler,True
35,2,Epler,True
36,22,Rundstykker og småbrød,True
37,13,Frokostblandinger og musli,True
38,36,Rundstykker,True
39,37,Granola,True
40,19,Hvitmuggost,True
41,19,Smøreoster,True
42,41,Kremost,True
43,,Kjøtt,True
44,43,Medisterkaker,True
45,11,Paprika,True
46,,Kylling og fjærkre,True
47,46,Kylling,True
48,47,Kyllinglår,True
49,26,Vann,True
50,49,Vann med kullsyre,True
51,,Hus & hjem,False
52,51,Klesvask,False
53,52,Vaskemiddel,False
54,19,Parmesan og smaksrike fastoster,True
55,11,Salater,True
56,36,Baguetter,True
57,4,Dressinger,True
58,57,Rømmedressing,True
59,19,Brunost,True
60,,Snacks & godteri,True
61,60,Nøtter,True
62,61,Chilinøtter,True
63,43,Pølser,True
64,63,Middagspølse,True
65,4,Hermetisk grønt,True
66,65,Hermetiske tomater,True
67,4,Linser og frø,True
68,67,Frø,True
69,26,Kombucha,True
70,33,Ferdigmåltider,True
71,70,Pannekaker,True
72,,Bakevarer og kjeks,True
73,60,Sjokolade,True
74,72,Baking,True
75,74,Maisstivelse,True
76,61,Peanøtter,True
77,33,Potetretter,True
78,77,Pommes frites,True
79,8,Yoghurt,True
80,79,Yoghurt,True
81,16,Barnemat,True
82,22,Boller og småkaker,True
83,82,Lapper,True
84,33,Fiskeretter,True
85,84,Hermetisk fisk og sjømat,True
86,5,Pesto,True
87,22,Pitabrød,True
88,26,Øl,True
89,88,Alkoholfritt øl,True
90,11,Agurk,True
91,33,Pizza,True
92,91,Pizza,True
93,72,Kjeks,True
94,93,Smørbrødkjeks,True
95,51,"Poser, papir og folie",False
96,13,Fiskepålegg,True
97,95,Brødposer,False
98,96,Sild/ansjos,True
99,8,Smør og margarin,True
100,99,Margarin,True
101,95,Fryseposer,False
102,70,Fiskemåltid ferdig,True
103,41,Smøreost,True
104,82,Vafler ferdigstekt,True
105,,Fisk & skalldyr,True
106,105,Fisk,True
107,26,Kaffe,True
108,106,Laks,True
109,107,Instant kaffe,True
110,5,Ostesaus,True
111,26,Energidrikk,True
112,82,Boller,True
113,13,Postei og pate,True
114,113,Kyllingpostei,True
115,33,Ris,True
116,115,Couscous,True
117,93,Cookies,True
118,,Personlige artikler,False
119,118,Tannpleie,False
120,22,Loff,True
121,119,Tanntråd,False
122,72,Mel og gryn,True
123,122,Mel,True
124,16,Barnegrøt,True
125,61,Nøtteblanding,True
126,14,Påleggskinker,True
127,119,Tannbørste,False
128,33,Grøt,True
129,128,Havregrøt,True
130,33,Taco,True
131,130,Tacoskjell,True
132,33,Middag kit,True
133,132,Gryterett kit,True
134,33,Supper,True
135,134,Blomkålsuppe,True
136,134,Kyllingsuppe,True
137,22,Knekkebrød,True
138,107,Filtermalt kaffe,True
139,72,Tørket frukt og nøtter,True
140,139,Rosiner,True
141,2,Avocado,True
142,33,Pasta,True
143,142,Spagetti,True
144,82,Muffins,True
145,19,Revet ost,True
146,33,Middagshermetikk,True
147,8,Egg,True
148,134,Grønnsaksuppe,True
149,11,Tomater,True
150,4,Salt og pepper,True
151,150,Salt,True
152,8,Rømme,True
153,4,Kraft og buljong,True
154,153,Buljong,True
155,142,Pastarør,True
156,22,Kaker,True
157,156,Ostekake,True
158,77,Potetmos,True
159,1,Bær,True
160,159,Rips,True
161,107,Kaffefilter,True
162,60,Pastiller,True
163,11,Sukkererter,True
164,,Dessert,True
165,164,Smådesserter,True
166,60,Snacks,True
167,166,Saltstenger,True
168,43,Kjøttdeig og farse,True
169,168,Kjøttdeig,True
170,96,Kaviar,True
171,51,Grill og ild,False
172,171,Fyrstikker,False
173,43,Svinekjøtt,True
174,173,Svinekoteletter,True
175,5,Hummus,True
176,4,Middagssalat,True
177,8,Melk,True
178,57,Øvrig dressing,True
179,177,Lettmelk,True
180,166,Chips,True
181,84,Fiskegrateng,True
182,106,Torsk,True
183,11,Chili,True
184,14,Sylte,True
185,57,Tzatziki,True
186,63,Spesialpølser,True
187,96,Makrell i tomat,True
188,106,Makrell,True
189,5,Bearnaisesaus,True
190,168,Karbonadedeig,True
191,19,Manchego,True
192,49,Vann med smak,True
193,159,Bringebær,True
194,60,Godteri,True
195,22,Tørt brød,True
196,195,Flatbrød,True
197,43,Hamburger,True
198,14,Fleskepølse,True
199,51,Renhold,False
200,177,Syrnet melk smakstilsatt,True
201,199,Oppvaskmiddel,False
202,31,Søtpotet,True
203,37,Havregryn,True
204,11,Stangselleri,True
205,4,Deiger og rører,True
206,205,Pizzabunn,True
207,61,Pistasjenøtter,True
208,26,Saft,True
209,105,Skalldyr,True
210,209,Skjell,True
211,164,Dessertpuddinger,True
212,211,Karamellpudding,True
213,106,Lutefisk,True
214,88,Øl,True
215,2,Druer,True
216,105,Sushi,True
217,130,Tacokryddermix,True
218,142,Makaroni,True
219,209,Scampi,True
220,65,Tomatpure,True
221,,Kioskvarer,False
222,221,Lesestoff,False
223,222,Aviser,False
224,19,Fetaost,True
225,156,Brownie,True
226,8,Fløte,True
227,226,Kremfløte,True
228,13,Remulade,True
229,209,Reker,True
230,99,Smør,True
231,128,Risgrøt,True
232,2,Ananas,True
233,159,Physalis,True
234,70,Lasagne ferdig,True
236,139,Mandler,True
237,168,Kjøttfarse,True
238,13,Spekemat,True
239,16,Barnekjeks,True
240,238,Spekeskinker,True
241,199,Avfallssekker,False
242,171,Tennbriketter,False
243,142,Pasta fylt,True
244,82,Kanelbakst,True
245,19,Mozzarella,True
246,60,Dip,True
247,22,Hamburgerbrød,True
248,246,Dipmix,True
249,4,Krydder,True
250,249,Laurbærblader,True
251,93,Søtkjeks,True
252,5,Peppersaus,True
253,142,Pastaskruer,True
254,47,Kylling hel,True
255,118,Apotekvarer,False
256,255,Plaster,False
257,249,Rosmarin tørket,True
258,164,Riskrem,True
259,41,Prim,True
260,130,Guacamole,True
261,113,Baconpostei,True
262,130,Tortillalefser,True
263,164,Fruktkompott,True
264,156,Julekaker,True
265,65,Oliven,True
266,79,Matyoghurt,True
267,67,Linser,True
268,2,Kiwi,True
269,70,Ferdigmåltid,True
270,84,Fiskekaker,True
271,19,Cheddar,True
272,139,Svisker,True
273,142,Pastaskjell,True
274,130,Tortillachips,True
275,249,Hvitløkspulver,True
276,4,Stuinger,True
277,276,Ertestuing,True
278,74,Kokesjokolade,True
279,164,Hermetisk frukt og bær,True
280,279,Hermetisk ananas,True
281,119,Tannkrem,False
282,60,Tyggegummi,True
283,46,And,True
284,283,And,True
285,156,Kransekake,True
286,95,Isbitposer,False
287,156,Sjokoladekake,True
288,57,Kebabdressing,True
289,43,Viltkjøtt,True
290,51,Kjøkken,False
291,60,Popcorn,True
292,289,Reinsdyr,True
293,290,Bakeutstyr,False
294,5,Pastasaus,True
295,63,Grillpølser,True
296,5,Sennepssaus,True
297,199,Rengjøringsmiddel,False
298,177,Jordbærmelk,True
299,177,Helmelk,True
300,1,Frosne bær og grønnsaker,True
301,300,"Grønnsaker, frosne",True
302,8,Creme Fraiche,True
303,22,Påsmurte baguetter,True
304,164,Mousse,True
305,43,Lammekjøtt,True
306,304,Sjokolademousse,True
307,305,Lammekoteletter,True
308,1,Krydderurter,True
309,308,Persille,True
310,13,Søtpålegg,True
311,310,Honning,True
312,70,Lungemos,True
313,,Dyr,True
314,313,Kattemat,True
315,159,Jordbær,True
316,118,Helsekost,False
317,316,Måltidsbar,False
318,1,Sopp,True
319,318,Sopp,True
320,13,Energibar,True
321,130,Tacosaus,True
322,19,Kittmodnetost,True
323,199,Vaskeredskaper,False
324,249,Gurkemeie,True
325,49,Vann,True
326,65,Hermetiske erter,True
327,63,Wienerpølser,True
328,199,Toalettpapir,False
329,57,Hamburgerdressing,True
330,11,Asparges,True
331,159,Blåbær,True
332,118,Hudpleie,False
333,332,Leppepomade,False
334,4,Ketchup og sennep,True
335,221,Snus,False
336,334,Sprøstekt løk,True
337,134,Tomatsuppe,True
338,199,WC-rens,False
339,164,Gele,True
340,65,Hermetisk mais,True
341,4,Matoljer,True
342,26,Iskaffe,True
343,341,Rapsolje,True
344,334,Sennep,True
345,36,Ciabatta,True
346,118,Personlig hygiene,False
347,346,Såper,False
348,13,Majones,True
349,13,Bacon,True
350,26,Kaffekapsler,True
351,173,Svinekjøtt strimlet,True
352,249,Muskat,True
353,156,Marsipankake,True
354,47,Kyllingfilet,True
355,150,Pepper,True
356,305,Lammelår,True
357,106,Ørret,True
358,300,"Frukt og bær, frosne",True
359,316,Tran,False
360,134,Fiskesuppe,True
361,95,Bakepapir,False
362,142,Pastafigurer,True
363,173,Smårettskinke,True
364,171,Lighter,False
365,166,Baconsnacks,True
366,22,Pølsebrød,True
367,52,Tøymykner,False
368,308,Gressløk,True
369,209,Kreps,True
370,113,Leverpostei,True
371,5,Asiatiske sauser,True
372,199,Kluter,False
373,4,Kokosmelk,True
374,84,Panert fisk,True
375,346,Intimvask,False
376,13,Påleggsalat,True
377,4,Potetsalat,True
378,118,Barbering,False
379,378,Barberpleie,False
380,164,Dessertsauser,True
381,380,Jordbærsaus,True
382,26,Leskedrikk,True
383,156,Donuts,True
384,26,Iste,True
385,72,Gjær,True
386,177,Sjokolademelk,True
387,84,Surimi,True
388,70,Pytt i panne,True
389,134,Spinatsuppe,True
390,2,Fruktmiks,True
391,156,Havreflarn,True
392,43,Storfekjøtt,True
393,392,Biffstrimler,True
394,11,Bønner ferske,True
395,70,Pastarett ferdig,True
396,46,Kalkun,True
397,118,Bind og tamponger,False
398,397,Bind,False
399,82,Wienerbakst,True
400,199,Grønnsåpe,False
401,238,Spekepølser,True
402,22,Riskaker,True
403,164,Is,True
404,403,Dessertis,True
405,14,Roastbiff,True
406,134,Ertesuppe,True
407,106,Tunfisk,True
408,290,Tørkerull,False
409,346,Bomullspinner,False
410,156,Minibakkels,True
411,99,Kryddersmør,True
412,70,Løkringer,True
413,13,Syltetøy,True
414,2,Granatepler,True
415,72,Bakemixer,True
416,415,Rundstykkemix,True
417,246,Cheddar dip,True
418,310,Peanøttsmør,True
419,37,Frokostblanding,True
420,65,Surkål,True
421,153,Sukkerkulør,True
422,392,Mørbrad,True
423,5,Pizzasaus,True
424,22,Lomper,True
425,22,Påsmurte lefser,True
426,221,Tobakk,False
427,341,Olivenolje,True
428,199,Vindusvask,False
429,106,Lysing,True
430,177,Skummet melk,True
431,65,Bambusskudd,True
432,19,Guloster,True
433,432,Gulost,True
434,134,Kjøttsuppe,True
435,43,Lunsjkaker,True
436,205,Paideig,True
437,51,Borddekning,False
438,437,Stearinlys,False
439,2,Mango,True
440,392,Entrecote,True
441,255,Selvtester,False
442,156,Mandelkake,True
443,397,Truseinnlegg,False
444,177,Syrnet melk naturell,True
445,65,Jalapenos,True
446,341,Matolje,True
447,65,Sylteagurk,True
448,84,Fiskepudding,True
449,332,Sminkefjerner,False
450,106,Kveite,True
451,334,Ketchup,True
452,22,Lefser,True
453,209,Krabbe,True
454,177,Kefir,True
455,255,Smertestillende,False
456,43,Kjøttboller,True
457,392,Indrefilet av storfe,True
458,61,Cashewnøtter,True
459,5,Kyllingsaus,True
460,22,Myke runde porsjonsbrød,True
461,9,Nøttedrikk,True
462,65,Hermetiske rødbeter,True
463,168,Kyllingkjøttdeig,True
464,313,Dyreartikler,False
465,464,Hundeavfallsposer,False
466,74,Bakepulver,True
467,403,Småis multipack,True
468,156,Napoleonskake,True
469,308,Rosmarin,True
470,222,Blader,False
471,308,Dill,True
472,84,Fiskepinner,True
473,134,Gulrotsuppe,True
474,313,Hundemat,True
475,70,Panert kjøtt,True
476,142,Båndspagetti,True
477,308,Sitrongress,True
478,332,Vaselin,False
479,33,Vegetarretter,True
480,106,Steinbit,True
481,106,Hyse,True
482,95,Stekepose,False
483,308,Basilikum,True
484,5,Chilisaus,True
485,166,Ostesnacks,True
486,308,Koriander,True
487,5,Worcestersaus,True
488,77,Kokt potet,True
489,249,Timian tørket,True
490,156,Biskvi,True
491,14,Rullader,True
492,173,Skinkestek,True
493,26,Sjokoladedrikk,True
494,415,Brødmix,True
495,164,Isbiter,True
496,2,Melon,True
497,26,Te,True
498,70,Pai ferdig,True
499,392,Ytrefilet av storfe,True
500,130,Mangosalsa,True
501,226,Matfløte,True
502,118,Neglepleie,False
503,502,Neglelakkfjerner,False
504,249,Kryddermix,True
505,346,Bomullpads,False
506,8,Cottage Cheese,True
507,249,Karve,True
508,43,Karbonader,True
509,168,Svinekjøttdeig,True
510,346,Intimservietter,False
511,9,Soyadrikk,True
512,70,Gryterett ferdig,True
513,4,Sushitilbehør,True
514,139,Hasselnøtter,True
515,513,Ingefær syltet,True
516,72,Sukker,True
517,119,Munnskyll,False
518,57,Cæsardressing,True
519,88,Lettøl,True
520,74,Vaniljesukker,True
521,65,Rødløk syltet,True
522,415,Sjokoladekakemix,True
523,346,Deodorant,False
524,36,Hvitløksbaguetter,True
525,166,Beef jerky,True
526,173,Smårettbacon,True
527,37,Kornblanding,True
528,51,Hus,False
529,528,Elektrisk,False
530,134,Sodd,True
531,164,Tiramisu,True
532,397,Tamponger,False
533,26,Cider,True
534,533,Cider,True
535,119,Fluortabletter,False
536,341,Solsikkeolje,True
537,173,Øvrig svinekjøtt,True
538,4,Marinader og BBQ-saus,True
539,538,Barbequesaus,True
540,82,Croissant,True
541,249,Grillkrydder,True
542,332,Bodylotion,False
543,134,Thaisuppe,True
544,134,Soppsuppe,True
545,107,Hele kaffebønner,True
546,65,Hermetiske bønner,True
547,82,Skillingsboller,True
548,84,Fylt fisk,True
549,5,Paprikasaus,True
550,77,Søtpotetmos,True
551,82,Berlinerboller,True
552,279,Hermetisk fersken,True
553,5,Sandefjordsmør,True
554,82,Skolebrød,True
555,432,Racletteost,True
556,57,Aioli,True
557,11,Squash,True
558,65,Hermetisk asparges,True
559,132,Middag kit,True
560,82,Solskinnsboller,True
561,249,Allehånde,True
562,61,Pecannøtter,True
563,211,Sjokoladepudding,True
564,130,Tacokit,True
565,173,Svineknoke,True
566,5,Tahinisaus,True
567,464,Kattesand,False
568,65,Vannkastanjer,True
569,36,Focaccia,True
570,63,Servelatsnabb,True
571,77,Gratinerte poteter,True
572,139,Aprikoser tørket,True
573,74,Natron,True
574,70,Dumpling,True
575,118,Hårpleie,False
576,575,Balsam,False
577,249,Basilikum tørket,True
578,5,Hollandaisesaus,True
579,19,Plantebasert erstatning for ost,True
580,575,Shampo,False
581,5,Fiskesaus,True
582,290,Oppbevaring,False
583,134,Ramensuppe,True
584,82,Brioche,True
585,77,Skrelte poteter,True
586,115,Quinoa,True
587,65,Tomatbønner,True
588,199,Kjøkkenhåndkle,False
589,95,Plastfolie,False
590,156,Rullekake,True
591,65,Rødkål,True
592,47,Kylling stekt,True
593,575,Hårgele,False
594,249,Paprikapulver,True
595,246,Salsa dip,True
596,95,Aluminiumsfolie,False
597,119,Tannstikker,False
598,8,Kesam,True
599,132,Pastarett kit,True
600,415,Muffinmix,True
601,36,Bagel,True
602,173,Ribbe,True
603,308,Sitronmelisse,True
604,65,Hermetisk sopp,True
605,139,Dadler tørket,True
606,115,Ris,True
607,16,Babyartikler,False
608,607,Smokker,False
609,249,Gressløk tørket,True
610,70,Vårruller,True
611,4,Eddiker,True
612,611,Balsamico,True
613,2,Pasjonsfrukt,True
614,11,Fennikel,True
615,380,Vaniljesaus,True
616,308,Mynte,True
617,611,Eddik,True
618,156,Punchrull,True
619,5,Appelsinsaus,True
620,77,Raspeball,True
621,316,Kosttilskudd,False
622,47,Kyllingvinger,True
623,61,Valnøtter,True
624,209,Hummer,True
625,221,Sigaretter,False
626,173,Svinefilet,True
627,308,Timian,True
628,65,Soltørkede tomater,True
629,122,Potetmel,True
630,313,Fuglemat,True
631,106,Breiflabb,True
634,115,Risottoris,True
636,122,Paneringsmel,True
639,308,Salvie,True
640,5,Rødvinssaus,True
641,82,Sjokoboller,True
645,437,Servietter,False
646,310,Sjokoladepålegg,True
648,139,Kokosmasse,True
649,122,Mandelmel,True
652,308,Oregano,True
659,115,Bulgur,True
660,437,Engangservice,False
661,226,Kaffefløte,True
662,195,Grissini,True
667,142,Lasagneplater,True
671,65,Hermetisk grønnsaksmix,True
674,415,Vaffelrøremix,True
678,70,Kinesiske pannekaker,True
679,132,Lasagne kit,True
681,226,Kremtopping,True
683,403,Iskake,True
684,249,Oregano tørket,True
687,392,Storfetunge,True
690,95,Matpapir,False
693,96,Rogn,True
695,249,Kardemomme,True
698,255,Røykeslutt,False
699,11,Spirer,True
700,5,Tapenade,True
701,106,Sei,True
702,19,Ricotta,True
706,134,Aspargessuppe,True
707,249,Spisskummen,True
708,105,Rakfisk,True
709,65,Hermetisk chili,True
711,226,Havrefløte,True
714,74,Melis,True
719,105,Tørket fisk,True
720,719,Klippfisk,True
722,65,Hvitløk i marinade,True
724,74,Søtningsstoff,True
726,19,Ostefat,True
728,5,Hvit saus,True
729,2,Fiken,True
730,16,Bleier,False
731,74,Kakepynt,True
732,70,Taco ferdig,True
733,346,Papirlommetørkler,False
734,43,Løvstek,True
735,128,Rømmegrøt,True
739,74,Marsipan,True
740,74,Marengstopper,True
741,255,Nesespray,False
742,607,Tåteflaske,False
743,502,Neglelakk,False
744,156,Øvrige kaker,True
745,51,Klær,False
746,745,Sokker,False
748,745,Undertøy,False
