id,parent_id,name
1,,Frukt & grønt
2,1,Frukt
3,2,Sitrusfrukt
4,,Middagstilbehør
5,4,Sauser
6,5,Brun saus
7,2,Bananer
8,,Meieri & egg
9,8,Plantebasert drikke
10,9,Havredrikk
11,1,Grønnsaker
12,11,Kål
13,,Pålegg & frokost
14,13,Kjøttpålegg
15,14,Saltpølser
16,,Barneprodukter
17,16,Babypleie
18,17,Våtservietter
19,,Ost
20,19,Chevre
21,11,Rotgrønnsaker
22,,Bakeri
23,22,Brød
24,2,Pære
25,16,Barnedessert
26,,Drikke
27,26,Smoothie
28,26,Juice
29,11,Løk
30,26,Brus
31,1,Poteter
32,31,Poteter
33,,Middag
34,33,Nudler
35,2,Epler
36,22,Rundstykker og småbrød
37,13,Frokostblandinger og musli
38,36,Rundstykker
39,37,Granola
40,19,Hvitmuggost
41,19,Smøreoster
42,41,Kremost
43,,Kjøtt
44,43,Medisterkaker
45,11,Paprika
46,,Kylling og fjærkre
47,46,Kylling
48,47,Kyllinglår
49,26,Vann
50,49,Vann med kullsyre
51,,Hus & hjem
52,51,Klesvask
53,52,Vaskemiddel
54,19,Parmesan og smaksrike fastoster
55,11,Salater
56,36,Baguetter
57,4,Dressinger
58,57,Rømmedressing
59,19,Brunost
60,,Snacks & godteri
61,60,Nøtter
62,61,Chilinøtter
63,43,Pølser
64,63,Middagspølse
65,4,Hermetisk grønt
66,65,Hermetiske tomater
67,4,Linser og frø
68,67,Frø
69,26,Kombucha
70,33,Ferdigmåltider
71,70,Pannekaker
72,,Bakevarer og kjeks
73,60,Sjokolade
74,72,Baking
75,74,Maisstivelse
76,61,Peanøtter
77,33,Potetretter
78,77,Pommes frites
79,8,Yoghurt
80,79,Yoghurt
81,16,Barnemat
82,22,Boller og småkaker
83,82,Lapper
84,33,Fiskeretter
85,84,Hermetisk fisk og sjømat
86,5,Pesto
87,22,Pitabrød
88,26,Øl
89,88,Alkoholfritt øl
90,11,Agurk
91,33,Pizza
92,91,Pizza
93,72,Kjeks
94,93,Smørbrødkjeks
95,51,"Poser, papir og folie"
96,13,Fiskepålegg
97,95,Brødposer
98,96,Sild/ansjos
99,8,Smør og margarin
100,99,Margarin
11,1,Grønnsaker
12,11,Kål
13,,Pålegg & frokost
14,13,Kjøttpålegg
15,14,Saltpølser
16,,Barneprodukter
17,16,Babypleie
18,17,Våtservietter
19,,Ost
